year,weekofyear,reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,station_avg_temp_c,station_min_temp_c,total_cases,season
2000,27,16.8628571429,295.358571429,26.9,20.8,0,summer
2000,28,17.12,295.622857143,26.8,20.7,0,summer
2000,29,14.4314285714,292.797142857,25.7666666667,14.7,0,summer
2000,30,15.4442857143,293.957142857,26.6,19.1,0,summer
2000,31,13.4214285714,291.725714286,25.34,17.0,0,summer
2000,32,15.3114285714,293.821428571,27.0166666667,19.9,0,summer
2000,33,15.4657142857,293.992857143,26.5833333333,20.5,0,summer
2000,34,14.4442857143,292.904285714,26.9,19.0,0,summer
2000,35,15.0571428571,293.472857143,27.1166666667,20.0,0,summer
2000,36,12.6528571429,290.635714286,28.3666666667,21.7,1,summer
2000,37,15.2271428571,293.64,27.425,20.5,0,summer
2000,38,14.3385714286,292.707142857,27.5333333333,20.5,0,summer
2001,27,14.2971428571,292.752857143,26.5,20.0,0,summer
2001,28,14.9285714286,293.438571429,27.35,19.5,0,summer
2001,29,15.6057142857,294.115714286,26.7666666667,21.0,0,summer
2001,30,16.5057142857,294.991428571,27.3666666667,21.2,0,summer
2001,31,14.9857142857,293.452857143,26.52,18.4,0,summer
2001,32,13.1585714286,291.387142857,27.1,17.8,0,summer
2001,33,13.7157142857,292.024285714,27.125,20.0,0,summer
2001,34,15.5114285714,294.017142857,27.6,20.0,0,summer
2001,35,15.2514285714,293.725714286,27.2,20.0,0,summer
2001,36,16.4371428571,294.905714286,27.375,20.8,0,summer
2001,37,15.6585714286,294.122857143,27.375,20.1,0,summer
2001,38,16.1042857143,294.597142857,27.525,20.2,0,summer
2002,27,13.4542857143,291.794285714,26.275,20.7,7,summer
2002,28,14.4642857143,292.95,26.1333333333,20.3,7,summer
2002,29,14.8185714286,293.327142857,25.4,20.1,4,summer
2002,30,14.93,293.422857143,27.8,19.5,5,summer
2002,31,16.0757142857,294.624285714,26.7,19.3,6,summer
2002,32,14.2457142857,292.674285714,27.25,20.2,7,summer
2002,33,13.4414285714,291.678571429,27.8333333333,20.6,7,summer
2002,34,14.0457142857,292.451428571,27.8333333333,20.8,4,summer
2002,35,15.4128571429,293.874285714,27.4,20.9,9,summer
2002,36,16.0342857143,294.531428571,27.4,21.7,17,summer
2002,37,14.7457142857,293.211428571,28.2333333333,19.9,8,summer
2002,38,13.9742857143,292.271428571,28.9,21.5,22,summer
2003,27,15.5114285714,294.037142857,25.8666666667,21.7,2,summer
2003,28,15.6185714286,294.154285714,27.075,20.7,2,summer
2003,29,15.2971428571,293.642857143,27.6666666667,17.4,5,summer
2003,30,13.5585714286,291.85,26.4666666667,18.0,1,summer
2003,31,14.6857142857,293.184285714,27.225,21.3,1,summer
2003,32,14.5842857143,293.045714286,27.85,21.3,0,summer
2003,33,15.5885714286,294.118571429,27.4,21.7,0,summer
2003,34,15.01,293.511428571,27.75,20.0,0,summer
2003,35,16.4457142857,294.932857143,28.0,21.4,0,summer
2003,36,12.9471428571,290.97,26.65,18.5,2,summer
2003,37,15.4471428571,293.927142857,27.8333333333,21.0,0,summer
2003,38,15.3114285714,293.684285714,27.8,16.8,3,summer
2004,27,16.5142857143,295.041428571,25.9,21.1,10,summer
2004,28,16.2528571429,294.814285714,26.55,21.8,3,summer
2004,29,15.86,294.358571429,26.8,20.5,12,summer
2004,30,16.48,294.997142857,26.3,21.9,7,summer
2004,31,15.9757142857,294.471428571,26.3,19.4,6,summer
2004,32,14.6942857143,293.144285714,26.3,18.3,5,summer
2004,33,13.8242857143,292.222857143,26.3,20.0,6,summer
2004,34,14.9614285714,293.421428571,26.3,21.7,6,summer
2004,35,16.0771428571,294.567142857,26.3,20.4,6,summer
2004,36,16.4842857143,294.988571429,27.1,20.9,8,summer
2004,37,17.67,296.115714286,27.4,23.0,6,summer
2004,38,17.44,295.88,27.1666666667,20.4,9,summer
2005,27,16.0385714286,294.528571429,27.8,21.6,7,summer
2005,28,13.9285714286,292.23,27.8,17.6,3,summer
2005,29,14.1914285714,292.455714286,26.55,18.2,5,summer
2005,30,15.26,293.75,21.4,18.5,6,summer
2005,31,14.6085714286,293.035714286,26.25,19.2,5,summer
2005,32,15.15,293.64,27.325,19.8,5,summer
2005,33,13.59,291.778571429,27.325,17.3,4,summer
2005,34,16.44,294.945714286,27.75,20.3,0,summer
2005,35,15.4285714286,293.918571429,26.8,21.4,0,summer
2005,36,15.5185714286,294.005714286,26.8,21.8,0,summer
2005,37,17.2228571429,295.658571429,26.8,21.8,0,summer
2005,38,15.06,293.555714286,25.7666666667,16.9,0,summer
2006,27,16.0057142857,294.592857143,26.7,21.7,2,summer
2006,28,14.4171428571,292.832857143,26.25,20.6,3,summer
2006,29,15.7885714286,294.258571429,27.4,19.9,2,summer
2006,30,14.88,293.26,26.6,18.5,2,summer
2006,31,16.7071428571,295.2,27.225,19.7,2,summer
2006,32,14.6314285714,293.08,27.6,19.4,2,summer
2006,33,17.0657142857,295.545714286,27.6666666667,20.9,2,summer
2006,34,16.6914285714,295.144285714,27.3,20.9,4,summer
2006,35,16.7771428571,295.272857143,26.5,20.3,0,summer
2006,36,15.4571428571,293.902857143,27.42,20.6,6,summer
2006,37,14.6428571429,293.037142857,28.35,17.8,3,summer
2006,38,15.91,294.35,27.9333333333,21.4,2,summer
2007,27,13.8042857143,292.177142857,25.9,19.6,3,summer
2007,28,15.4157142857,293.931428571,26.75,19.9,4,summer
2007,29,16.3914285714,294.941428571,26.5333333333,20.9,1,summer
2007,30,15.8457142857,294.345714286,27.35,20.7,8,summer
2007,31,14.7185714286,293.0,24.25,16.4,5,summer
2007,32,14.3371428571,292.708571429,26.475,17.2,3,summer
2007,33,15.5657142857,294.072857143,26.9,21.3,2,summer
2007,34,15.7571428571,294.195714286,27.125,19.9,7,summer
2007,35,14.7942857143,293.124285714,27.05,19.9,1,summer
2007,36,17.1828571429,295.682857143,26.3,20.9,6,summer
